Station,Date & Time (Winter),Total clouds cover (code),Total low clouds cover (code),Low clouds base (code),Low clouds type (code),Medium clouds type (code),Hight clouds type (code),Visibility (code)
Bet Dagan Man 01/1964-11/2022,03/09/2013 14:00,5,5,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,03/09/2013 17:00,4,4,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,03/09/2013 20:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,03/09/2013 23:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,04/09/2013 02:00,1,1,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,04/09/2013 05:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,04/09/2013 08:00,2,2,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,04/09/2013 11:00,5,5,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,04/09/2013 14:00,3,3,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,04/09/2013 17:00,5,5,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,04/09/2013 20:00,5,5,5,5,0,0,65
Bet Dagan Man 01/1964-11/2022,04/09/2013 23:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,05/09/2013 02:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,05/09/2013 05:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,05/09/2013 08:00,1,1,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,05/09/2013 11:00,4,4,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,05/09/2013 14:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,05/09/2013 17:00,1,1,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,05/09/2013 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,05/09/2013 23:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,06/09/2013 02:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,06/09/2013 05:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,06/09/2013 08:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,06/09/2013 11:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,06/09/2013 14:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,06/09/2013 17:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,06/09/2013 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,06/09/2013 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,07/09/2013 02:00,1,1,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,07/09/2013 05:00,1,1,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,07/09/2013 08:00,4,4,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,07/09/2013 11:00,4,4,6,1,0,0,70
Bet Dagan Man 01/1964-11/2022,07/09/2013 14:00,2,2,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,07/09/2013 17:00,2,2,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,07/09/2013 20:00,3,3,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,07/09/2013 23:00,4,4,6,1,0,0,65
Bet Dagan Man 01/1964-11/2022,08/09/2013 02:00,2,2,6,1,0,0,65
Bet Dagan Man 01/1964-11/2022,08/09/2013 05:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,08/09/2013 08:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,08/09/2013 11:00,2,2,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,08/09/2013 14:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,08/09/2013 17:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,08/09/2013 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,08/09/2013 23:00,3,3,6,1,0,0,70
Bet Dagan Man 01/1964-11/2022,09/09/2013 02:00,1,1,6,1,0,0,70
Bet Dagan Man 01/1964-11/2022,09/09/2013 05:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,09/09/2013 08:00,3,3,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,09/09/2013 11:00,5,5,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,09/09/2013 14:00,1,1,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,09/09/2013 17:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,09/09/2013 20:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,09/09/2013 23:00,1,1,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,10/09/2013 02:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,10/09/2013 05:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,10/09/2013 08:00,2,2,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,10/09/2013 11:00,2,2,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,10/09/2013 14:00,1,1,5,5,0,0,70
Bet Dagan Man 01/1964-11/2022,10/09/2013 17:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,10/09/2013 20:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,10/09/2013 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,11/09/2013 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,11/09/2013 05:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,11/09/2013 08:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,11/09/2013 11:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,11/09/2013 14:00,0,0,9,0,0,0,75
Bet Dagan Man 01/1964-11/2022,11/09/2013 17:00,0,0,9,0,0,0,75
Bet Dagan Man 01/1964-11/2022,11/09/2013 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,11/09/2013 23:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,12/09/2013 02:00,1,1,5,5,0,0,70
Bet Dagan Man 01/1964-11/2022,12/09/2013 05:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,12/09/2013 08:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,12/09/2013 11:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,12/09/2013 14:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,12/09/2013 17:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,12/09/2013 20:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,12/09/2013 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,13/09/2013 02:00,1,1,4,5,0,0,60
Bet Dagan Man 01/1964-11/2022,13/09/2013 05:00,1,1,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,13/09/2013 08:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,13/09/2013 11:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,13/09/2013 14:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,13/09/2013 17:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,14/09/2013 20:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,14/09/2013 23:00,1,1,3,6,0,0,60
Bet Dagan Man 01/1964-11/2022,15/09/2013 02:00,5,5,3,6,0,0,60
Bet Dagan Man 01/1964-11/2022,15/09/2013 05:00,2,2,5,5,0,0,60
Bet Dagan Man 01/1964-11/2022,15/09/2013 08:00,4,4,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,15/09/2013 11:00,2,2,4,1,0,0,65
Bet Dagan Man 01/1964-11/2022,15/09/2013 14:00,3,3,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,15/09/2013 17:00,2,2,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,15/09/2013 20:00,3,3,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,15/09/2013 23:00,2,2,6,1,0,0,70
Bet Dagan Man 01/1964-11/2022,16/09/2013 02:00,5,5,6,5,0,0,70
Bet Dagan Man 01/1964-11/2022,16/09/2013 05:00,3,3,6,5,0,0,60
Bet Dagan Man 01/1964-11/2022,16/09/2013 08:00,4,4,6,5,0,0,70
Bet Dagan Man 01/1964-11/2022,16/09/2013 11:00,2,2,6,1,0,0,75
Bet Dagan Man 01/1964-11/2022,16/09/2013 14:00,1,1,6,1,0,0,75
Bet Dagan Man 01/1964-11/2022,16/09/2013 17:00,3,3,6,1,0,0,70
Bet Dagan Man 01/1964-11/2022,16/09/2013 20:00,4,4,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,16/09/2013 23:00,5,5,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,17/09/2013 02:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,17/09/2013 05:00,5,5,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,17/09/2013 08:00,2,2,6,1,0,0,65
Bet Dagan Man 01/1964-11/2022,17/09/2013 11:00,2,2,6,1,0,0,70
Bet Dagan Man 01/1964-11/2022,17/09/2013 14:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,17/09/2013 17:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,17/09/2013 20:00,1,1,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,17/09/2013 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,18/09/2013 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,18/09/2013 05:00,1,1,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,18/09/2013 08:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,18/09/2013 11:00,5,5,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,18/09/2013 14:00,6,6,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,18/09/2013 17:00,4,4,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,18/09/2013 20:00,2,2,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,18/09/2013 23:00,5,5,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,19/09/2013 02:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,19/09/2013 05:00,3,3,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,19/09/2013 08:00,6,0,9,0,0,1,65
Bet Dagan Man 01/1964-11/2022,19/09/2013 11:00,2,1,5,1,3,1,65
Bet Dagan Man 01/1964-11/2022,19/09/2013 14:00,6,6,9,0,1,0,65
Bet Dagan Man 01/1964-11/2022,19/09/2013 17:00,4,2,9,0,3,1,65
Bet Dagan Man 01/1964-11/2022,19/09/2013 20:00,3,3,5,1,3,0,65
Bet Dagan Man 01/1964-11/2022,19/09/2013 23:00,6,6,9,0,3,0,70
Bet Dagan Man 01/1964-11/2022,20/09/2013 02:00,4,4,9,0,3,0,60
Bet Dagan Man 01/1964-11/2022,20/09/2013 05:00,4,4,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,20/09/2013 08:00,3,3,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,20/09/2013 11:00,5,5,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,20/09/2013 14:00,4,4,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,20/09/2013 17:00,4,4,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,20/09/2013 20:00,2,2,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,20/09/2013 23:00,1,1,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,21/09/2013 02:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,21/09/2013 05:00,5,5,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,21/09/2013 08:00,4,4,5,2,0,0,60
Bet Dagan Man 01/1964-11/2022,21/09/2013 11:00,3,3,5,2,0,0,70
Bet Dagan Man 01/1964-11/2022,21/09/2013 14:00,3,3,5,2,0,0,70
Bet Dagan Man 01/1964-11/2022,21/09/2013 17:00,6,6,4,7,0,0,65
Bet Dagan Man 01/1964-11/2022,21/09/2013 20:00,3,3,5,2,0,0,65
Bet Dagan Man 01/1964-11/2022,21/09/2013 23:00,3,3,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,22/09/2013 02:00,3,3,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,22/09/2013 05:00,2,2,5,2,0,0,60
Bet Dagan Man 01/1964-11/2022,22/09/2013 08:00,3,3,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,22/09/2013 11:00,5,5,6,1,0,0,75
Bet Dagan Man 01/1964-11/2022,22/09/2013 14:00,4,4,6,1,0,0,70
Bet Dagan Man 01/1964-11/2022,22/09/2013 17:00,4,4,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,22/09/2013 20:00,2,2,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,22/09/2013 23:00,1,1,6,1,0,0,70
Bet Dagan Man 01/1964-11/2022,23/09/2013 02:00,1,1,6,1,0,0,65
Bet Dagan Man 01/1964-11/2022,23/09/2013 05:00,5,5,5,8,0,0,60
Bet Dagan Man 01/1964-11/2022,23/09/2013 08:00,4,4,5,2,3,0,65
Bet Dagan Man 01/1964-11/2022,23/09/2013 11:00,4,4,5,4,1,0,70
Bet Dagan Man 01/1964-11/2022,23/09/2013 14:00,2,2,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,23/09/2013 17:00,3,3,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,23/09/2013 20:00,4,4,5,2,0,0,60
Bet Dagan Man 01/1964-11/2022,23/09/2013 23:00,3,3,5,2,0,0,60
Bet Dagan Man 01/1964-11/2022,24/09/2013 02:00,3,3,5,2,0,0,60
Bet Dagan Man 01/1964-11/2022,24/09/2013 05:00,3,3,5,2,0,0,65
Bet Dagan Man 01/1964-11/2022,24/09/2013 08:00,3,3,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,24/09/2013 11:00,3,3,5,2,0,0,70
Bet Dagan Man 01/1964-11/2022,24/09/2013 14:00,7,7,4,2,3,10,65
Bet Dagan Man 01/1964-11/2022,24/09/2013 17:00,5,5,5,2,0,0,70
Bet Dagan Man 01/1964-11/2022,24/09/2013 20:00,1,1,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,24/09/2013 23:00,4,4,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,25/09/2013 02:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,25/09/2013 05:00,4,4,5,2,0,0,65
Bet Dagan Man 01/1964-11/2022,25/09/2013 08:00,2,2,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,25/09/2013 11:00,2,2,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,25/09/2013 14:00,2,2,6,1,0,0,70
Bet Dagan Man 01/1964-11/2022,25/09/2013 17:00,2,2,6,1,0,0,70
Bet Dagan Man 01/1964-11/2022,25/09/2013 20:00,1,1,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,25/09/2013 23:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,26/09/2013 02:00,1,1,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,26/09/2013 05:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,26/09/2013 08:00,1,1,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,26/09/2013 11:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,26/09/2013 14:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,26/09/2013 17:00,1,1,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,26/09/2013 20:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,26/09/2013 23:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,27/09/2013 02:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,27/09/2013 05:00,5,5,5,4,0,0,60
Bet Dagan Man 01/1964-11/2022,27/09/2013 08:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,27/09/2013 11:00,5,5,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,27/09/2013 14:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,27/09/2013 17:00,5,5,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,27/09/2013 20:00,3,3,6,1,0,0,65
Bet Dagan Man 01/1964-11/2022,27/09/2013 23:00,2,2,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,28/09/2013 02:00,2,2,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,28/09/2013 05:00,2,2,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,28/09/2013 08:00,3,3,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,28/09/2013 11:00,5,5,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,28/09/2013 14:00,3,3,6,1,0,0,70
Bet Dagan Man 01/1964-11/2022,28/09/2013 17:00,3,3,5,1,0,0,70
Bet Dagan Man 01/1964-11/2022,28/09/2013 20:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,28/09/2013 23:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,29/09/2013 02:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,29/09/2013 05:00,1,1,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,29/09/2013 08:00,3,3,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,29/09/2013 11:00,3,3,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,29/09/2013 14:00,1,1,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,29/09/2013 17:00,1,1,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,29/09/2013 20:00,1,1,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,29/09/2013 23:00,3,3,6,1,0,0,65
Bet Dagan Man 01/1964-11/2022,30/09/2013 02:00,1,1,6,1,0,0,65
Bet Dagan Man 01/1964-11/2022,30/09/2013 05:00,1,1,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,30/09/2013 08:00,1,1,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,30/09/2013 11:00,1,1,6,1,0,0,65
Bet Dagan Man 01/1964-11/2022,30/09/2013 14:00,1,1,6,1,0,0,65
Bet Dagan Man 01/1964-11/2022,30/09/2013 17:00,1,1,6,1,0,0,65
Bet Dagan Man 01/1964-11/2022,30/09/2013 20:00,2,2,6,1,0,0,65
Bet Dagan Man 01/1964-11/2022,30/09/2013 23:00,6,6,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,01/10/2013 02:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,01/10/2013 05:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,01/10/2013 08:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,01/10/2013 11:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,01/10/2013 14:00,1,1,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,01/10/2013 17:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,01/10/2013 20:00,6,6,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,01/10/2013 23:00,3,3,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,02/10/2013 02:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,02/10/2013 05:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,02/10/2013 08:00,1,1,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,02/10/2013 11:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,02/10/2013 14:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,02/10/2013 17:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,02/10/2013 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,02/10/2013 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,03/10/2013 02:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,03/10/2013 05:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,03/10/2013 08:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,03/10/2013 11:00,3,3,6,1,0,0,65
Bet Dagan Man 01/1964-11/2022,03/10/2013 14:00,5,5,5,4,0,0,65
Bet Dagan Man 01/1964-11/2022,03/10/2013 17:00,5,4,5,1,5,0,70
Bet Dagan Man 01/1964-11/2022,03/10/2013 20:00,1,1,6,1,0,0,70
Bet Dagan Man 01/1964-11/2022,03/10/2013 23:00,3,3,6,1,0,0,70
Bet Dagan Man 01/1964-11/2022,04/10/2013 02:00,4,4,6,1,0,0,65
Bet Dagan Man 01/1964-11/2022,04/10/2013 05:00,4,4,6,5,0,0,70
Bet Dagan Man 01/1964-11/2022,04/10/2013 08:00,4,4,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,04/10/2013 11:00,3,3,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,04/10/2013 14:00,3,3,5,1,0,0,65
Bet Dagan Man 01/1964-11/2022,04/10/2013 17:00,5,5,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,04/10/2013 20:00,5,5,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,04/10/2013 23:00,6,6,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,05/10/2013 02:00,6,6,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,05/10/2013 05:00,7,7,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,05/10/2013 08:00,6,6,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,05/10/2013 11:00,4,4,6,5,0,0,70
Bet Dagan Man 01/1964-11/2022,05/10/2013 14:00,4,4,6,1,0,0,70
Bet Dagan Man 01/1964-11/2022,05/10/2013 17:00,4,4,6,1,0,0,70
Bet Dagan Man 01/1964-11/2022,05/10/2013 20:00,4,4,6,1,0,0,65
Bet Dagan Man 01/1964-11/2022,05/10/2013 23:00,4,4,6,2,0,0,60
Bet Dagan Man 01/1964-11/2022,06/10/2013 02:00,5,5,6,2,0,0,60
Bet Dagan Man 01/1964-11/2022,06/10/2013 05:00,6,6,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,06/10/2013 08:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,06/10/2013 11:00,5,5,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,06/10/2013 14:00,3,3,6,1,0,0,70
Bet Dagan Man 01/1964-11/2022,06/10/2013 17:00,3,3,6,1,0,0,65
Bet Dagan Man 01/1964-11/2022,06/10/2013 20:00,4,4,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,06/10/2013 23:00,4,4,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,07/10/2013 02:00,5,5,6,4,0,0,60
Bet Dagan Man 01/1964-11/2022,07/10/2013 05:00,3,3,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,07/10/2013 08:00,3,3,6,4,0,0,70
Bet Dagan Man 01/1964-11/2022,07/10/2013 11:00,3,3,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,07/10/2013 14:00,3,3,7,1,0,0,70
Bet Dagan Man 01/1964-11/2022,07/10/2013 17:00,1,1,6,1,0,0,65
Bet Dagan Man 01/1964-11/2022,07/10/2013 20:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,07/10/2013 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,08/10/2013 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,08/10/2013 05:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,08/10/2013 08:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,08/10/2013 11:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,08/10/2013 14:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,08/10/2013 17:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,08/10/2013 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,08/10/2013 23:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,09/10/2013 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,09/10/2013 05:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,09/10/2013 08:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,09/10/2013 11:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,09/10/2013 14:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,09/10/2013 17:00,0,0,9,0,0,0,70
Bet Dagan Man 01/1964-11/2022,09/10/2013 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,09/10/2013 23:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,10/10/2013 02:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,10/10/2013 05:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,10/10/2013 08:00,0,0,9,0,0,0,65
